area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Plot  Area,Ready To Move,7th Phase JP Nagar,independent,3200,4,2,350,4
Super built-up  Area,Ready To Move,Bellandur,independent,1717,3,2,110,3
Super built-up  Area,Not ready,Kanakpura Road,prarepa,700,2,1,34,2
Super built-up  Area,Ready To Move,Shanthi Pura,shtondw,800,2,1,32,2
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,2367,4,3,340,3
Super built-up  Area,Ready To Move,Sonnenahalli,dsgam s,1415,2,1,65,3
Super built-up  Area,Not ready,7th Phase JP Nagar,puarero,1976,3,1,145,3
Super built-up  Area,Ready To Move,Kambipura,independent,883,2,1,37.01,2
Super built-up  Area,Ready To Move,Yelahanka,bcivell,700,1,1,38,1
Super built-up  Area,Ready To Move,Sarjapur,coa 3t ,1445,3,1,50,3
Super built-up  Area,Not ready,Battarahalli,paontwa,2082,3,2,104,3
Super built-up  Area,Ready To Move,HSR Layout,nrosete,1140,2,2,46,2
Super built-up  Area,Ready To Move,Thanisandra,bhmesy ,933,2,1,66,2
Plot  Area,Ready To Move,NRI Layout,independent,800,5,1,95.5,4
Built-up  Area,Ready To Move,Electronic City Phase II,independent,1155,2,1,57,2
Super built-up  Area,Ready To Move,Whitefield,smuilan,1130,2,1,36,2
Super built-up  Area,Ready To Move,Bannerghatta,independent,1200,2,2,73.2,2
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,independent,1055,2,1,43,2
Super built-up  Area,Ready To Move,Rajaji Nagar,sradesr,1555,3,2,125,3
Super built-up  Area,Ready To Move,Bellandur,cvnetnc,1420,3,2,62,3
Super built-up  Area,Not ready,Viviani Road,independent,2214,3,2,350,3
Super built-up  Area,Not ready,Devanahalli,sabixtt,658,1,1,26.91,1
Built-up  Area,Ready To Move,KR Puram,sviseun,1035,2,2,40,2
Plot  Area,Ready To Move,Whitefield,mintare,2064,5,2,225,4
Super built-up  Area,Ready To Move,Keshava Nagar,etens g,1839,3,3,160,3
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1200,2,2,44,2
Built-up  Area,Ready To Move,Yelahanka New Town,khatsfl,488,1,1,20,1
Built-up  Area,Ready To Move,Banashankari Stage II,independent,1200,2,1,198,3
Built-up  Area,Ready To Move,Sampangirama Nagar,independent,2760,5,2,140,5
Super built-up  Area,Ready To Move,Gunjur Palya,evvan v,993,2,2,42,2
Super built-up  Area,Ready To Move,Hoodi,siiewag,1225,2,1,45,2
Plot  Area,Ready To Move,TC Palaya,independent,900,2,0,55,2
Built-up  Area,Ready To Move,Sompura,suiseit,825,2,1,32,2
Super built-up  Area,Ready To Move,Bellandur,independent,3596,4,2,359,4
Plot  Area,Ready To Move,Hosahalli Extension,independent,1350,4,1,203,6
Super built-up  Area,Ready To Move,Electronic City Phase II,sjmesst,1800,3,3,92,3
Super built-up  Area,Ready To Move,Shankarapuram,independent,925,2,1,100,2
Super built-up  Area,Not ready,Kanakpura Road,golusli,1167,2,1,63,2
Super built-up  Area,Ready To Move,Sarjapur,independent,1150,2,1,41,2
Super built-up  Area,Not ready,Byatarayanapura,hisic g,650,1,1,50,1
Built-up  Area,Ready To Move,Sarjapur  Road,shthi s,675,1,1,27,1
Plot  Area,Ready To Move,Doctor Layout Rayasandra,independent,2260,3,1,90,2
Super built-up  Area,Not ready,Anwar Layout,ukicte ,660,1,0,32.39,1
Super built-up  Area,Ready To Move,Yelahanka New Town,independent,1100,2,1,58,2
Super built-up  Area,Ready To Move,Pillanna Gardens,independent,550,1,1,20,2
Super built-up  Area,Ready To Move,Uttarahalli,aklia r,1330,2,1,58,3
Super built-up  Area,Ready To Move,Koramangala,proodt ,1320,2,1,160,2
Super built-up  Area,Ready To Move,Ulsoor,independent,1685,4,2,185,3
Super built-up  Area,Ready To Move,Ullal Uppanagar,independent,2400,5,2,75,6
Super built-up  Area,Not ready,Banashankari,bregae ,1770,3,3,108,3
Super built-up  Area,Ready To Move,Prithvi Layout,prigh l,2100,3,3,125,3
Super built-up  Area,Ready To Move,Pai Layout,independent,1000,2,3,42,2
Plot  Area,Ready To Move,Banashankari Stage VI,independent,600,5,1,105,4
Plot  Area,Ready To Move,Ramamurthy Nagar,independent,2916,5,1,230,4
Super built-up  Area,Ready To Move,Kodihalli,kamesri,1400,3,2,81,3
Built-up  Area,Ready To Move,Horamavu Agara,independent,750,2,1,37.49,2
Super built-up  Area,Ready To Move,Bannerghatta,independent,1070,2,1,87,2
Super built-up  Area,Not ready,Kannamangala,sonue a,1536,3,1,107,3
Built-up  Area,Ready To Move,Koramangala,k ncy r,1710,3,2,210,3
Carpet  Area,Ready To Move,JP Nagar,saacy a,2400,3,3,196,3
Super built-up  Area,Not ready,Sarjapur  Road,pualesk,1618,2,2,102.92,3
Super built-up  Area,Not ready,Electronic City,prarkun,1342,2,1,72,2
Super built-up  Area,Ready To Move,Chandra Layout,independent,1600,3,2,130,3
Super built-up  Area,Not ready,Kanakapura,goityet,938,1,1,50,1
Super built-up  Area,Ready To Move,Budigere,pritytr,1820,3,2,99,3
Super built-up  Area,Ready To Move,Bhoganhalli,pride s,2439,4,3,170,4
Super built-up  Area,Ready To Move,Kanakpura Road,puestol,1665,3,2,78,3
Super built-up  Area,Ready To Move,Basavangudi,independent,1850,3,2,150,3
Built-up  Area,Ready To Move,Bommanahalli,alarke ,1091,2,1,40,2
Super built-up  Area,Not ready,Sarjapur  Road,pualesk,1346,2,1,74.03,2
Super built-up  Area,Ready To Move,Rajaji Nagar,brway g,1720,3,2,224,3
Built-up  Area,Ready To Move,Brookefield,goodsrb,3675,4,3,176,4
Super built-up  Area,Not ready,JP Nagar,independent,1060,2,2,33.95,2
Built-up  Area,Not ready,Whitefield,independent,1059,2,1,57,2
Super built-up  Area,Ready To Move,Hebbal,prersis,1299,2,1,97,2
Super built-up  Area,Ready To Move,Yelahanka,niareum,1491,3,2,85,3
Built-up  Area,Ready To Move,Basaveshwara Nagar,independent,1200,2,2,85,2
Built-up  Area,Ready To Move,Yelahanka,independent,2088,5,0,110,4
Super built-up  Area,Ready To Move,Hulimavu,independent,581,1,1,29,1
Super built-up  Area,Ready To Move, Devarabeesana Halli,independent,1296,2,2,70,2
Super built-up  Area,Ready To Move,Doctors Layout,mavelr ,1125,2,1,55,2
Built-up  Area,Ready To Move,Electronic City,emodsel,1275,3,1,70,3
Super built-up  Area,Ready To Move,Kothanur,independent,1095,2,2,55,2
Super built-up  Area,Ready To Move,Old Madras Road,sastaat,1330,2,2,74,2
Super built-up  Area,Ready To Move,Marathahalli,independent,1135,2,2,60,2
Super built-up  Area,Ready To Move,Whitefield,independent,516,1,1,39,1
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,independent,1194,2,1,51,2
Plot  Area,Ready To Move,Banaswadi,independent,2250,5,2,240,5
Super built-up  Area,Ready To Move,Electronic City,gmown e,770,1,1,38,2
Super built-up  Area,Ready To Move,Sarjapur  Road,maana e,3930,5,2,330,4
Super built-up  Area,Not ready,Chikkalasandra,independent,1355,3,2,54.2,3
Built-up  Area,Ready To Move,Abbigere,independent,3000,8,0,150,8
Built-up  Area,Ready To Move,Harlur,prncyrn,2569,4,1,175,4
Built-up  Area,Ready To Move,Hebbal,independent,3758,4,2,450,4
Super built-up  Area,Ready To Move,Whitefield,sonviik,1116,2,3,51.91,2
Super built-up  Area,Ready To Move,Bhoganhalli,prsun s,1707,3,2,115,3
Plot  Area,Not ready,AECS LAYOUT A-BLOCK Singasandra,independent,1200,5,1,225,5
Super built-up  Area,Ready To Move,Sultan Palaya,independent,1070,2,2,49,2
Built-up  Area,Ready To Move,Whitefield,independent,6000,4,2,410,4
Super built-up  Area,Not ready,Tumkur Road,sahtsva,1240,2,1,83,3
Super built-up  Area,Not ready,JP Nagar,shestut,1300,2,1,91.65,2
Super built-up  Area,Ready To Move,Ambalipura,sjodsed,1700,2,2,76,2
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,1383,2,2,76.18,3
Built-up  Area,Ready To Move,Banashankari Stage I,independent,3000,4,3,170,5
Built-up  Area,Not ready,Electronic City,independent,1200,2,1,34.65,2
Super built-up  Area,Ready To Move,Hulimavu,independent,935,2,3,45,2
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072,4,2,151,3
Built-up  Area,Ready To Move,Ramanjaneyanagar,independent,2200,3,1,225,4
Super built-up  Area,Ready To Move,Jalahalli,vaniai ,615,1,1,46,1
Super built-up  Area,Ready To Move,KR Puram,ciaksri,1116,2,1,45,2
Super built-up  Area,Not ready,Whitefield,asarqz ,1639,3,2,107,3
Super built-up  Area,Ready To Move,Marathahalli,independent,1839,3,2,130,3
Super built-up  Area,Ready To Move,Byatarayanapura,independent,1300,2,2,63,2
Super built-up  Area,Ready To Move,Horamavu Agara,independent,625,1,1,27,1
Super built-up  Area,Not ready,Thanisandra,bhmesy ,933,1,1,61,1
Super built-up  Area,Ready To Move,Hosur Road,saageat,2289,3,3,180,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,2316,3,0,125,3
Super built-up  Area,Not ready,Electronic City,independent,1005,2,1,39.77,2
Built-up  Area,Ready To Move,Horamavu Agara,slorafl,1080,2,1,38,2
Plot  Area,Ready To Move,Munnekollal,independent,1200,5,3,185,7
Super built-up  Area,Ready To Move,Vishwapriya Layout,prodsth,910,2,3,36,2
Plot  Area,Ready To Move,Hormavu,grensak,1200,2,0,73,2
Super built-up  Area,Ready To Move,Electronic City,ycnce r,1110,2,1,39.9,2
Super built-up  Area,Ready To Move,Kothanur,independent,1142,2,2,56,2
Carpet  Area,Ready To Move,2nd Stage Nagarbhavi,independent,4000,4,3,240,5
Plot  Area,Not ready,Hormavu,prageta,1800,3,1,204,3
Super built-up  Area,Ready To Move,AECS Layout,cmard b,1005,2,1,55,2
Super built-up  Area,Ready To Move,Kothanur,independent,1074,2,2,54,2
Carpet  Area,Ready To Move,Basavangudi,independent,1230,2,0,80,2
Super built-up  Area,Ready To Move,Electronic City,itelaa ,660,1,1,23,2
Built-up  Area,Ready To Move,Coconut Grove Layout,independent,1007,2,2,48,2
Plot  Area,Ready To Move,2nd Block Hrbr Layout,independent,1050,6,1,74,4
Built-up  Area,Not ready,Whitefield,independent,1820,3,2,113,3
Super built-up  Area,Ready To Move,Basapura,krtiqa ,1100,2,1,60,2
Plot  Area,Ready To Move,Anjappa Layout,independent,1348,2,0,100,2
Super built-up  Area,Ready To Move,Kasavanhalli,independent,1230,2,2,66.25,2
Super built-up  Area,Not ready,Horamavu Agara,independent,1176,2,1,37.62,3
Super built-up  Area,Ready To Move,Uttarahalli,aklia r,1590,3,2,57,3
Built-up  Area,Ready To Move,Frazer Town,independent,1200,2,1,78,2
Built-up  Area,Not ready,"Off Sarjapur Road, ",independent,1298,2,1,65,2
Super built-up  Area,Not ready,Hosa Road,mahesr ,1161,2,1,55.15,2
Plot  Area,Ready To Move,Himagiri Meadows,independent,1350,4,0,175,4
Plot  Area,Ready To Move,4th Block HBR Layout,independent,1200,5,2,138,5
Super built-up  Area,Ready To Move,Kothanur,independent,1285,2,1,60,2
Super built-up  Area,Not ready,Electronic City,prarkun,1644,3,2,92.59,3
Super built-up  Area,Ready To Move,Kasavanhalli,independent,1819,3,1,150,3
Super built-up  Area,Ready To Move,1st Phase JP Nagar,ncaveun,1205,2,1,85,2
Super built-up  Area,Ready To Move,Basavangudi,independent,2350,3,3,300,3
Super built-up  Area,Ready To Move,Uttarahalli,independent,1050,2,1,42,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,ely 3em,1270,2,2,62,2
Super built-up  Area,Not ready,9th Phase JP Nagar,independent,1240,2,2,39.89,3
Super built-up  Area,Ready To Move,Jigani,dlhtsan,1221,3,3,70,3
Built-up  Area,Ready To Move,Hoysalanagar,rkntsrt,840,2,2,35,3
Super built-up  Area,Ready To Move,Kanakpura Road,puandhi,1339,2,2,63,2
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,4303,5,2,300,4
Super built-up  Area,Ready To Move,Haralur Road,dsimaul,1315,2,1,85,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,independent,1250,2,2,68,2
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,850,2,1,27,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1600,2,2,110,3
Built-up  Area,Ready To Move,Electronic City,prhtsua,1250,2,1,62,2
Super built-up  Area,Ready To Move,Motappa Layout,puodse ,1312,2,1,56.5,3
Super built-up  Area,Ready To Move,Kadugodi,vsaya a,3000,4,0,134,4
Built-up  Area,Ready To Move,Electronic City Phase II,prngshi,1300,2,2,28,2
Built-up  Area,Ready To Move,Whitefield,independent,1990,3,3,98,3
Super built-up  Area,Ready To Move,Medahalli,independent,760,2,2,38.5,2
Super built-up  Area,Ready To Move,Kadugodi,inadear,1614,2,2,59,3
Plot  Area,Ready To Move,Judicial Layout,independent,1500,3,2,162,4
Super built-up  Area,Ready To Move,Basava Nagar,prvaska,1182,2,1,60.1,3
Super built-up  Area,Ready To Move,Avalahalli,pyonsca,1053,2,1,46.29,2
Built-up  Area,Ready To Move,6th Phase JP Nagar,independent,750,1,1,105,1
Super built-up  Area,Ready To Move,Gubbalala,mauiltr,2000,3,3,125,3
Built-up  Area,Not ready,Electronic City Phase II,snbay g,1940,4,3,116,3
Super built-up  Area,Not ready,Hennur Road,shxorm ,1590,3,2,105,3
Super built-up  Area,Not ready,Chennammana Kere,independent,1035,2,2,52.79,2
Super built-up  Area,Ready To Move,Kothanur,independent,1075,2,2,53,2
Plot  Area,Ready To Move,TC Palaya,independent,900,2,0,55,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,keave e,1260,2,1,62,3
Plot  Area,Ready To Move,Prashanth Nagar,independent,1200,5,0,260,6
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1702,3,2,107,3
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1080,2,2,65,3
Built-up  Area,Ready To Move,Kasavanhalli,independent,1189,2,1,45,2
Super built-up  Area,Ready To Move,Tumkur Road,mairer ,1035,2,1,39,2
Super built-up  Area,Not ready,Hennur Road,dseldpr,1200,2,1,36,2
Plot  Area,Ready To Move,Michael Palaya,independent,1200,3,0,200,3
Super built-up  Area,Not ready,Kanakpura Road,prarepa,1300,3,1,69,3
Super built-up  Area,Not ready,Yelahanka,ledorsa,1330,2,1,93.65,2
Super built-up  Area,Ready To Move,Kaggalipura,baowsig,1210,2,1,65,3
Built-up  Area,Ready To Move,Chikkalasandra,independent,1350,2,2,54.2,3
Super built-up  Area,Ready To Move,Kaval Byrasandra,syonen ,1900,2,2,65,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1935,4,2,125,3
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,brlonav,1410,3,3,90,3
Super built-up  Area,Ready To Move,Narayanapura,arioshe,1469,2,2,99.14,2
Super built-up  Area,Ready To Move,Varthur,hirio l,986,2,1,30,2
Super built-up  Area,Ready To Move,RBI Layout,sasicha,1460,2,2,87,3
Super built-up  Area,Not ready,Chandra Layout,tiaksaa,1260,2,2,85.05,3
Super built-up  Area,Ready To Move,Chandapura,riiew l,1345,2,2,39.5,3
Super built-up  Area,Ready To Move,Panathur,isncasa,980,2,1,57,2
Built-up  Area,Ready To Move,Kudlu Gate,brlms p,1164,2,2,75,2
Super built-up  Area,Ready To Move,Subramanyapura,prldsri,929,1,2,51,2
Built-up  Area,Ready To Move,Kundalahalli,independent,1065,2,1,70,2
Super built-up  Area,Not ready,Budigere,brstaue,1150,2,0,56.725,2
Super built-up  Area,Ready To Move,Lakshmiamma Garden,independent,3000,3,1,265,3
Super built-up  Area,Not ready,Electronic City,independent,1020,2,1,30.27,2
Super built-up  Area,Ready To Move,Gunjur,dserste,1362,3,1,62.63,3
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,672,1,1,36.85,1
Super built-up  Area,Ready To Move,Brookefield,stlomg ,1746,3,3,115,3
Built-up  Area,Not ready,Electronic City,independent,1025,2,1,29.6,2
Super built-up  Area,Ready To Move,Harlur,srendpo,1532,2,1,65,2
Super built-up  Area,Ready To Move,Guni Agrahara,independent,1200,2,2,120,3
Super built-up  Area,Ready To Move,Ganga Nagar,alourar,1250,2,2,65,2
Super built-up  Area,Ready To Move,Thanisandra,slaceda,1188,2,1,39,2
Built-up  Area,Not ready,Whitefield,nvaree ,3565,4,0,218,4
Super built-up  Area,Not ready,Marathahalli,prenske,1170,2,2,85,2
Super built-up  Area,Ready To Move,BEL Road,independent,1800,3,2,150,3
Plot  Area,Ready To Move,Madavara,independent,1000,2,1,35,2
Plot  Area,Ready To Move,Cooke Town,independent,2600,3,1,375,3
Plot  Area,Ready To Move,Nagarbhavi,independent,1200,4,3,240,5
Super built-up  Area,Ready To Move,Kasturi Nagar,radenta,2507,4,2,155,4
Super built-up  Area,Ready To Move,Babusapalaya,arngsd ,1061,2,1,34,2
Super built-up  Area,Ready To Move,KR Puram,independent,1290,2,2,69,2
Super built-up  Area,Ready To Move,Sarjapur,independent,1200,2,1,42.6,2
Super built-up  Area,Not ready,Bharathi Nagar,independent,1120,2,2,39.29,2
Super built-up  Area,Ready To Move,Electronic City,independent,418,1,1,12,1
Super built-up  Area,Ready To Move,Sarjapur,sondaka,1333,3,1,50,3
Super built-up  Area,Ready To Move,Sarjapur  Road,klark l,1691,3,2,119,3
Super built-up  Area,Not ready,Thanisandra,cotaror,684,1,0,34.355,1
Super built-up  Area,Ready To Move,Koramangala,independent,1700,3,3,250,3
Super built-up  Area,Not ready,Thanisandra,g conth,2030,4,1,125,3
Super built-up  Area,Not ready,Balagere,soresea,1012,2,1,70,2
Carpet  Area,Ready To Move,Kudlu,independent,1245,2,1,60,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1765,3,2,118,3
Super built-up  Area,Ready To Move,Gottigere,srtusi ,1110,2,2,36.25,2
Built-up  Area,Ready To Move,Akash Nagar,independent,967,2,1,47.8,2
Super built-up  Area,Ready To Move,Sarjapur,peles p,1044,2,2,36,2
Super built-up  Area,Ready To Move,Brookefield,baentgi,1518,3,3,80,3
Super built-up  Area,Ready To Move,KR Puram,slontel,1300,2,2,57,3
Super built-up  Area,Ready To Move,Seetharampalya,sapazta,1798,3,3,73,3
Super built-up  Area,Not ready,Whitefield,brlisco,3410,5,3,253,4
Super built-up  Area,Ready To Move,Singasandra,eavarum,1179,2,2,56,2
Super built-up  Area,Ready To Move,Uttarahalli,aklia r,1125,2,1,48,2
Super built-up  Area,Ready To Move,Cambridge Layout,independent,2098,3,1,210,3
Super built-up  Area,Ready To Move,3rd Phase JP Nagar,independent,2400,3,1,270,3
Built-up  Area,Ready To Move,Haralur Road,independent,1976,3,2,92,3
Built-up  Area,Ready To Move,5th Phase JP Nagar,niaveha,1190,2,2,61.8,2
Super built-up  Area,Ready To Move,cooketown,independent,1800,3,3,192,3
Super built-up  Area,Not ready,Jakkur,ceezey ,1761,3,1,84.52,3
Super built-up  Area,Ready To Move,Cooke Town,independent,1700,3,3,120,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,900,4,1,70,4
Super built-up  Area,Not ready,Electronic City,prarkun,1128,2,1,64.8,2
Super built-up  Area,Ready To Move,5th Stage BEML Layout,independent,2000,3,2,85,3
Built-up  Area,Not ready,Electronic City,independent,1220,2,1,35.25,3
Super built-up  Area,Not ready,Shauhardha Layout,ardaseo,509,1,1,20,1
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1852,4,2,122,3
Super built-up  Area,Not ready,Varthur,myple m,1045,2,1,40.65,2
Super built-up  Area,Ready To Move,Kaverappa Layout,varve r,3535,4,2,215,4
Super built-up  Area,Ready To Move,Marathahalli,independent,1102,2,2,53.67,2
Super built-up  Area,Ready To Move,Omkar Nagar,shinei ,1800,3,2,82,4
Super built-up  Area,Ready To Move,Hebbal Kempapura,independent,1436,2,2,75,3
Super built-up  Area,Ready To Move,Chikkadunnasandra,kr 10ca,1397,2,2,52,3
Super built-up  Area,Ready To Move,Kothanur,independent,1140,2,2,56,2
Super built-up  Area,Not ready,Balagere,soresea,645,1,1,55,1
Plot  Area,Ready To Move,Bank Of Baroda Colony,independent,2350,5,2,325,5
Plot  Area,Not ready,Nagarbhavi,independent,1200,3,2,225,3
Carpet  Area,Ready To Move,Bhoopsandra,e onsg ,2050,3,2,135,3
Super built-up  Area,Ready To Move,Sarjapur  Road,dsndsod,1335,2,1,95,2
Plot  Area,Ready To Move,Thirumenahalli,independent,2100,1,1,200,2
Super built-up  Area,Not ready,Hebbal,magiaya,1255,3,2,77.68,3
Super built-up  Area,Ready To Move,Thanisandra,slaceda,1140,2,1,59,2
Super built-up  Area,Ready To Move,Hosakerehalli,taonte ,2376,3,1,240,3
Super built-up  Area,Not ready,Thanisandra,bhe 2ko,663,1,1,46,1
Super built-up  Area,Ready To Move,Victoria Layout,independent,1276,2,0,146,2
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1450,3,3,60.9,3
Super built-up  Area,Ready To Move,Kodichikkanahalli,independent,1400,3,3,66,3
Super built-up  Area,Not ready,Divya Unnathi Layout,independent,1339,2,1,53.56,2
Built-up  Area,Not ready,Electronic City,independent,1220,2,1,35.23,3
Built-up  Area,Ready To Move,Malleshwaram,sariaat,2200,3,2,275,3
Built-up  Area,Ready To Move,Harohalli,independent,1305,2,2,52,2
Built-up  Area,Ready To Move,Green Glen Layout,sravea ,1740,3,3,80,3
Super built-up  Area,Ready To Move,Anekal,independent,680,1,1,21,2
Super built-up  Area,Ready To Move,Bannerghatta Road,independent,1154,2,2,47,2
Built-up  Area,Ready To Move,Munnekollal,independent,1200,2,2,40,2
Super built-up  Area,Ready To Move,Hennur,independent,1155,2,2,54.5,2
Super built-up  Area,Ready To Move,Sarjapur  Road,shthi s,1525,2,3,63,3
Built-up  Area,Ready To Move,Giri Nagar,independent,600,1,1,125,1
Super built-up  Area,Not ready,Hebbal,raard b,2470,5,2,192,4
Super built-up  Area,Ready To Move,Padmanabhanagar,independent,1100,2,1,60,2
Super built-up  Area,Ready To Move,Hormavu,savar s,1250,2,2,65,2
Super built-up  Area,Ready To Move,Kothanur,ymhenli,1400,2,1,70,2
Super built-up  Area,Ready To Move,Ittamadu,naory g,1600,3,2,100,3
Built-up  Area,Ready To Move,Electronic City,gmown e,1060,2,1,55,2
Super built-up  Area,Ready To Move,Horamavu Banaswadi,independent,1272,2,2,50,2
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1296,2,2,105,2
Built-up  Area,Ready To Move,Dollars Colony,independent,2100,3,2,280,4
Super built-up  Area,Ready To Move,Karuna Nagar,ajityin,1945,3,3,115,3
Super built-up  Area,Not ready,Chandapura,independent,1033,2,2,30.47,3
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,pantsce,2300,2,2,69,3
Super built-up  Area,Not ready,Gunjur Palya,independent,1235,2,2,52.76,2
Super built-up  Area,Ready To Move,3rd Block Koramangala,aplanje,2100,3,1,270,3
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,sharlth,850,2,1,42.5,2
Super built-up  Area,Ready To Move,Subramanyapura,mayne a,1880,3,2,110,3
Super built-up  Area,Not ready,1st Block Jayanagar,independent,2450,4,2,368,4
Super built-up  Area,Ready To Move,Kenchenahalli,unateit,1060,2,2,52,2
Super built-up  Area,Ready To Move,Hennur Road,sairesa,2041,3,3,138,3
Built-up  Area,Ready To Move,Hulimavu,independent,1050,2,2,125,2
Super built-up  Area,Ready To Move,Vasanthapura,independent,1037,2,1,36.28,2
Built-up  Area,Not ready,"Electronic city phase 1, ",independent,1150,2,1,39,2
Super built-up  Area,Ready To Move,LB Shastri Nagar,mcrds s,1184,2,1,62,2
Built-up  Area,Ready To Move,Sarjapur  Road,independent,1680,3,2,126,3
Super built-up  Area,Not ready,Thanisandra,bhe 2ko,1411,3,2,100,3
Plot  Area,Ready To Move,Hosa Road,independent,900,5,0,55,5
Super built-up  Area,Not ready,Kanakpura Road,independent,900,2,2,41,2
Built-up  Area,Ready To Move,Jakkur Plantation,independent,3500,4,3,320,4
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1702,3,2,120,3
Super built-up  Area,Ready To Move,Yelahanka,bkideor,1185,2,2,45,2
Super built-up  Area,Not ready,Kanakpura Road,prarepa,1300,3,1,64,3
Super built-up  Area,Ready To Move,Lavakusha Nagar,vanusn ,1545,3,2,65,3
Super built-up  Area,Ready To Move,6th Phase JP Nagar,ncierar,1515,2,2,135,3
Super built-up  Area,Ready To Move,Jigani,dlhtsen,1300,3,3,55,3
Super built-up  Area,Ready To Move,JP Nagar,independent,1107,2,1,57,2
Super built-up  Area,Ready To Move,Old Madras Road,brglede,1720,3,2,106,3
Super built-up  Area,Ready To Move,Kuvempu Nagar,srersas,1540,3,2,150,3
Super built-up  Area,Ready To Move,Bannerghatta Road,independent,1000,2,1,44.5,2
Super built-up  Area,Not ready,Electronic City,konteit,710,1,1,40.42,1
Super built-up  Area,Ready To Move,Thanisandra,slaceda,1100,2,1,38,2
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,krodsno,3200,4,0,270,4
Plot  Area,Ready To Move,Domlur Layout,independent,900,2,2,160,2
Built-up  Area,Ready To Move,Bannerghatta Road,saavenc,1250,2,0,48,2
Built-up  Area,Ready To Move,Kaggadasapura,independent,2400,4,3,130,5
Plot  Area,Ready To Move,Vasanth nagar,independent,875,4,0,150,4
Plot  Area,Ready To Move,Kammasandra,independent,1200,6,3,60,4
Super built-up  Area,Ready To Move,Kaggadasapura,srncyre,1485,2,2,70,3
Built-up  Area,Ready To Move,Hennur Road,maity w,1100,2,1,78,3
Super built-up  Area,Not ready,8th Phase JP Nagar,independent,1245,2,1,59,2
Built-up  Area,Not ready,Hennur Road,ciris p,1880,4,0,154,4
Super built-up  Area,Not ready,Frazer Town,independent,2214,3,3,350,3
Built-up  Area,Not ready,Anathanagar,independent,1050,2,2,45,2
Plot  Area,Ready To Move,Vishveshwarya Layout,independent,600,4,2,95,4
Super built-up  Area,Not ready,Bannerghatta Road,uncioe ,1640,3,2,105,3
Super built-up  Area,Ready To Move,Basavanapura,papusa ,1165,2,1,65,2
Built-up  Area,Ready To Move,Kengeri Satellite Town,mmowsik,1110,2,1,43,2
Super built-up  Area,Ready To Move,vinayakanagar,independent,1200,5,2,200,7
Built-up  Area,Ready To Move,Uttarahalli,independent,4500,4,0,150,4
Plot  Area,Ready To Move,Jaraganahalli Jp Nagar Post,independent,600,4,3,65,4
Super built-up  Area,Ready To Move,Haralur Road,ndionas,1300,2,2,75,2
Plot  Area,Ready To Move,adigondanhalli,independent,1200,1,0,42,2
Plot  Area,Not ready,Yelahanka,saaveha,1200,2,2,12.75,2.6
Super built-up  Area,Not ready,Hennur Road,puachal,1232,2,1,69.61,2
Super built-up  Area,Ready To Move,Jalahalli,independent,1704,3,2,94.36,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,independent,1275,2,2,88,3
Super built-up  Area,Ready To Move,Sarjapur  Road,gciewty,1222,2,1,68,3
Super built-up  Area,Ready To Move,Varthur,mkllei ,1155,2,2,39,2
Super built-up  Area,Not ready,Electronic City,independent,1000,2,1,29.95,2
Super built-up  Area,Ready To Move,Horamavu Banaswadi,bhave e,1200,2,1,45,2
Super built-up  Area,Not ready,Yelahanka,goues a,1517,3,2,71.28,3
Super built-up  Area,Not ready,Horamavu Agara,independent,1166,2,1,37.29,2
Built-up  Area,Ready To Move,Electronic City,itelaa ,870,2,2,24,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,independent,4000,5,2,170,5
Plot  Area,Ready To Move,Rajaji Nagar,independent,1350,4,1,230,4
Super built-up  Area,Ready To Move,Yelahanka,niareum,3019,6,2,190,4
